923	author	title	journal	abstract	0	pub_date	volume	issue	pages	0	0
549	"Morris, AT and Dwek, RA"	Some recent applications of the use of paramagnetic centres to probe biological systems using nuclear magnetic resonance	Q Rev Biophys		1977	Nov	10	4	421-84	203973	0
550	"Morris, AT"	Comparison by 1H NMR of the hapten environment in the combining site of the dinitrophenyl binding IgA protein 315 and its fragments	Immunochemistry		1978	Aug	15	8	519-22	730222	0
551	"Mortimer, JE"	Feasibility and efficacy of weekly intraarterial cisplatin in locally advanced (stage III and IV) head and neck cancers	J Clin Oncol	"Thirty-five consecutive patients with primary unresectable head and neck cancers were considered eligible for protocol treatment with neoadjuvant intraarterial cisplatin. External carotid artery catheterizations were technically feasible in 29 patients (83%). Twenty-five patients with 28 primary tumors received intraarterial cisplatin, 100 mg/m2, every seven to 14 days for three cycles. The most common toxicity was nausea and vomiting. Ipsilateral hemialopecia, transient VII nerve palsy, and blurring of vision seem to be unique to this route of administration at this dose. A complete response was seen at the primary tumor site in nine of 28 (32%), with 14 of 28 partial responses (50%). In evaluating both primary tumor and nodal disease, five of 25 patients achieved a complete response and 15 of 25 a partial response. In previous reports, one complete response was observed in 74 patients with head and neck cancer treated with neoadjuvant intravenous (IV) cisplatin every 3 weeks. The overall response of 82% reported here is comparable to that reported with combination chemotherapy and suggests an advantage to the arterial administration of cisplatin when possible in the neoadjuvant setting."	1988	Jun	6	6	969-75	3373266	0
552	"Mortimer, JE and Taylor, ME"	Can chemotherapy alter the histologic features of breast cancer?	Am J Clin Pathol		1994	Aug	102	2	147-9	8042578	0
553	"Mortimer, JE and Taylor, ME"	Positron emitting 18F-2-deoxy-2-fluoro-D-glucose: potential hot new therapy	Breast Cancer Res	"Preclinical studies suggest that 18F-2-deoxy-2-fluoro-D-glucose (18F-FDG) kills breast cancer cells without significant marrow toxicity or parenchymal toxicity. Radiation dose calculations estimated from fluorodeoxyglucose positron emission tomography images in women with metastatic disease indicate that 18F-FDG should be a feasible and safe option in humans. Because the available radiotherapeutic agents, strontium 89 and samarium 153 provide palliation to a limited population of women with bony metastases, new radiopharmaceutical agents with broader applicability are needed. The development of 18F-FDG as the first positron-emitting radiotherapeutic has the potential to be an innovative treatment, not only in osteoblastic disease, but also in osteolytic disease and in soft tissue metastases."	2003		5	6	329-31	14580251	0
554	"Moxley, MJ"	Herpes simplex virus type 1 infection prevents detachment of nerve growth factor-differentiated PC12 cells in culture	J Gen Virol	"In tissue culture, rat pheochromocytoma (PC12) cells differentiated with nerve growth factor (NGF) cease division, extend neuritic processes and acquire many properties characteristic of neuronal cells. In previous work, we have shown that NGF-differentiated PC12 cells can survive infection with herpes simplex virus type 1 (HSV-1) and maintain the viral genome in a quiescent but reactivatable state. In this study, we report that uninfected NGF-differentiated PC12 cells uniformly and predictably detach from the culture flask substratum after approximately 7 weeks. Although uninfected cells were uniformly lost from the culture by 7 weeks, surprisingly HSV-1-infected cells survived beyond 10 weeks, the time limit of the study. The detachment of uninfected cells was not the result of cell death or apoptosis, as determined by viability assays performed on cells after detachment. Expression of the HSV-1 latency associated transcript (LAT) gene and virus replication was not necessary for the virus to suppress the 'detachment' phenomenon, since NGF-differentiated PC12 cells infected with either wild-type, DNA polymerase mutant or LAT null mutant virus survived in culture for similar lengths of time. Viral gene expression does appear to be necessary for the suppression, however, since cells infected with UV-inactivated virus were lost from culture with kinetics similar to those of uninfected cells. These findings indicate that de novo viral gene synthesis mediates changes to the host NGF-differentiated PC12 cells, which results in prevention of detachment."	2002	Jul	83	Pt 7	1591-600	12075077	0
555	"Mullin, NP"	Characterization of ligand binding to a carbohydrate-recognition domain of the macrophage mannose receptor	J Biol Chem	"The extracellular portion of the macrophage mannose receptor, an endocytic receptor involved in clearance of glycoconjugates, contains eight domains related to the Ca(2+)-dependent carbohydrate-recognition domains (CRDs) of other C-type animal lectins. The characteristics of ligand binding to an expressed form of one of these CRDs (CRD-4) have been investigated. The expressed domain was found to be a monomer in solution. Results of a solid phase binding assay and a protease resistance assay show that CRD-4 of the mannose receptor undergoes a conformational rearrangement upon binding of Ca2+, correlating with its ability to bind sugar. CRD-4 requires two Ca2+ for sugar binding, even though sequence comparisons with other C-type CRDs suggested that it might bind only one Ca2+. The results are consistent with a ternary complex being formed between CRD-4, sugar, and Ca2+ as is seen in the crystal structure of the CRD of rat mannose-binding protein in complex with an oligosaccharide. The stability of Ca2+ binding is shown to be pH-dependent, a result that is pertinent to release of ligand by the receptor in the endosome. However, CRD-4 retains sugar binding activity at a lower pH than does the whole receptor, suggesting that the conformational change in this CRD alone may not be sufficient to allow release of ligand in the endosomes."	1994	Nov-11	269	45	28405-13	7961781	0
556	"Mullin, NP"	Mechanism of Ca2+ and monosaccharide binding to a C-type carbohydrate-recognition domain of the macrophage mannose receptor	J Biol Chem	"Site-directed mutagenesis has been used to identify residues that ligate Ca2+ and sugar to the fourth C-type carbohydrate-recognition domain (CRD) of the macrophage mannose receptor. CRD-4 is the only one of the eight CRDs of the mannose receptor to exhibit detectable monosaccharide binding when expressed in isolation, and it is central to ligand binding by the receptor. CRD-4 requires two Ca2+ for sugar binding, like the CRD of rat serum mannose-binding protein (MBP-A). Sequence comparisons between the two CRDs suggest that the binding site for one Ca2+, which ligates directly to the bound sugar in MBP-A, is conserved in CRD-4 but that the auxiliary Ca2+ binding site is not. Mutation of the four residues at positions in CRD-4 equivalent to the auxiliary Ca2+ binding site in MBP-A indicates that only one, Asn728, is involved in ligation of Ca2+. Alanine-scanning mutagenesis was used to identify two other asparagine residues and one glutamic acid residue that are probably involved in ligation of the auxiliary Ca2+ to CRD-4. Sequence comparisons with other C-type CRDs suggest that the proposed binding site for the auxiliary Ca2+ in CRD-4 of the mannose receptor is unique. Evidence that the conserved Ca2+ in CRD-4 bridges between the protein and bound sugar in a manner analogous to MBP-A was obtained by mutation of one of the amino acid side chains at this site. Ring current shifts seen in the 1H NMR spectra of methyl glycosides of mannose, GlcNAc, and fucose in the presence of CRD-4 and site-directed mutagenesis indicate that a stacking interaction with Tyr729 is also involved in binding of sugars to CRD-4. This interaction contributes about 25% of the total free energy of binding to mannose. C-5 and C-6 of mannose interact with Tyr729, whereas C-2 of GlcNAc is closest to this residue, indicating that these two sugars bind to CRD-4 in opposite orientations. Sequence comparisons with other mannose/GlcNAc-specific C-type CRDs suggest that use of a stacking interaction in the binding of these sugars is probably unique to CRD-4 of the mannose receptor."	1997	Feb-28	272	9	5668-81	9038177	0
557	"Myerson, RJ"	Simultaneous superficial hyperthermia and external radiotherapy: report of thermal dosimetry and tolerance to treatment	Int J Hyperthermia	"BACKGROUND: In vitro and animal studies indicate that a moderate temperature of 41 degrees C maintained for approximately 1 h will provide radiosensitization if radiation (RT) and hyperthermia (HT) are delivered simultaneously, but not with sequential treatment. A minimum tumour temperature of 41 degrees C is a more feasible goal than the goal of >42 degrees C needed for sequential treatment. METHODS AND MATERIALS: Forty-four patients with 47 recurrent superficial cancers received simultaneous external beam radiotherapy and superficial hyperthermia on successive IRB approved phase I/II studies. All lesions had failed previous therapy, 35 were previously irradiated (mean dose 52.7 Gy). Hyperthermia was delivered with 915 MHz microwave or 1-3.5 MHz ultrasound using commercially available applicators. The average dimensions of 19 lesions treated with microwave were 4.7 x 3.6 x 1.7 cm and the average dimensions of 28 lesions treated with ultrasound were 8.0 x 6.1 x 2.9 cm. The most common sites were chest wall (15 cases) and head and neck (21 cases). Temperatures were monitored at an average of six intratumoral locations using multisensor probes. The median number of hyperthermia treatments was three and the median radiation dose 30 Gy. Radiation dose per fraction was 4 Gy with hyperthermia and 2 Gy or 4 Gy (depending on protocol) on non-hyperthermia days. RESULTS: Six different measures of minimum monitored temperature and duration were found to be highly correlated with each other. There was nearly a one-to-one correspondence between minimum tumour time at or above 41 degrees C (Min t41) and minimum tumour Sapareto Dewey equivalent time at 42 degrees C (Min teq42). After four sessions 63% of cases had a per session average Sapareto Dewey equivalent time at 41 degrees C which exceeded 60 min in all monitored tumour locations. The complete and partial response rate in evaluable lesions were respectively 21/41 (51%) and 7/41 (17%) and were best correlated with site (chest wall showing best response). Toxicity consisted of 10/47 (21%) slow healing soft tissue ulcers which healed in all cases but required a median of 7 months. The most important predictors for chronic ulceration were cumulative radiation dose >80 Gy and complete response to treatment. CONCLUSIONS: Minimum tumour temperatures maintained for durations compatible in vitro with thermal radiosensitization (if RT and HT are delivered simultaneously) are clinically feasible and tolerable for broad but superficial lesions amenable to externally applied ultrasound or microwave hyperthermia. The current in-house protocol is evaluating the impact of more than four hyperthermia sessions on the overall thermal dose distribution and toxicity."	1999	Jul-Aug	15	4	251-66	10458566	0
558	"Nahas, GG"	Psychoactive cannabinoids and membrane signaling	Hum Psychopharmacol	"THC-like psychoactive cannabinoids permeate the lipid bilayer of the membrane, altering its physicochemical properties and activating phospholipases. As a result, an increased production of arachidonic acid occurs with its cascade of eicosanoids, including prostaglandins. In addition, THC and its psychoactive derivatives bind within the membrane in a stereospecific fashion, to a transmembrane G protein coupled receptor (GPCR) for which THC has a much higher affinity than the natural ligands, arachidonylethanolamide (AEA) and 2-arachidonyglycerol (2-AG). These natural lipid ligands may be considered signaling molecules which are generated in the membrane lipid bilayer. THC alters the physicochemical disposition of the lipid bilayer and interacts with the integral membrane protein receptors through alteration of the boundary lipid. This effect is distinct from the mechanism resulting from its persistent binding to a G protein coupled transmembrane receptor. THC does not interact directly with neurotransmitter receptors but alters their pharmacological response in an allosteric fashion. It is proposed that the binding of AEA and 2-AG to the G protein coupled transmembrane receptor possesses a physiological function which is to regulate the signaling between boundary lipids and membrane receptors in response to extracellular signals. AEA and 2-AG are eicosanoid signaling molecules which modulate the activity of G protein coupled transmembrane receptors. AEA and 2-AG should not be identified with synthetic ligand molecules dubbed 'endogenous cannabinoids' which are 'xenobiotics' with no physiological regulating function. THC deregulates persistently a basic signaling mechanism of the membrane lipid bilayer and of its integrated receptors with resulting impairment of cellular function of brain, heart and male gonads. Copyright 2000 John Wiley & Sons, Ltd."	2000	Oct	15	7	535-549	12404624	0
559	"Nahas, G"	A molecular basis of the therapeutic and psychoactive properties of cannabis (delta9-tetrahydrocannabinol)	Prog Neuropsychopharmacol Biol Psychiatry	"All of the therapeutic properties of marihuana (analgesic, antiemetic, appetite stimulant, antiglaucoma) have been duplicated by the tetrahydrocannabinol (THC) molecule or its synthetic derivatives. Today, the molecular mechanisms of action of these compounds have led to a general understanding of the pharmacological effects of marihuana and of its therapeutic properties. These mechanisms involve the specific binding of THC to the 7-transmembrane (7TM) domain G protein-linked receptor, a molecular switch which regulates signal transduction in the cell membrane. The natural ligand of the 7TM receptor is an eicosanoid, arachidonylethanolamide (AEA), generated in the membrane and derived from arachidonic acid. THC acts as a substitute ligand to the 7TM receptor site of AEA. THC would deregulate the physiological function of the 7TM receptor and of its ligand AEA. As a result, the therapeutic effects of the drug may not be separated from its adverse psychoactive and cardiovascular effects. The binding of THC to the 7TM receptor site of AEA induces allosteric changes in the receptor sites of neurotransmitter and opiates resulting in variable interactions and pharmacological responses. The pharmacokinetics of THC with its prolonged storage in fat and its slow release result in variable and delayed pharmacological response, which precludes precise dosing to achieve timely therapeutic effects. The experimental use of THC and of its synthetic analogues, agonists, and antagonists has provided novel information in the nature of molecular signaling in the cell membrane. As a result, the relationships between allosteric receptor responsiveness, molecular configuration of proteins, and physiological regulation of cellular and organ function may be further investigated."	2002	May	26	4	721-30	12188105	0
560	"Napper, CE"	An extended conformation of the macrophage mannose receptor	J Biol Chem	"The macrophage mannose receptor mediates phagocytosis of pathogenic microorganisms and endocytosis of potentially harmful soluble glycoproteins by recognition of their defining carbohydrate structures. The mannose receptor is the prototype for a family of receptors each having an extracellular region consisting of 8-10 domains related to C-type carbohydrate recognition domains (CRDs), a fibronectin type II repeat and an N-terminal cysteine-rich domain. Hydrodynamic analysis and proteolysis experiments performed on fragments of the extracellular region of the receptor have been used to investigate its conformation. Size and shape parameters derived from sedimentation and diffusion coefficients indicate that the receptor is a monomeric, elongated and asymmetric molecule. Proteolysis experiments indicate the presence of close contacts between several pairs of domains and exposed linker regions separating CRDs 3 and 6 from their neighboring domains. Hydrodynamic coefficients predicted for modeled receptor conformations are consistent with an extended conformation with close contacts between three pairs of CRDs. The N-terminal cysteine-rich domain and the fibronectin type II repeat appear to increase the rigidity of the molecule. The rigid, extended conformation of the receptor places domains with different functions at distinct positions with respect to the membrane."	2001	May-04	276	18	14759-66	11279067	0
561	"Napper, CE and Taylor, ME"	The mannose receptor fails to enhance processing and presentation of a glycoprotein antigen in transfected fibroblasts	Glycobiology	"One function proposed for the mannose receptor found on dendritic cells as well as on macrophages and hepatic endothelial cells is in enhancing uptake and processing of glycoprotein antigens for presentation by major histocompatibility complex (MHC) class II molecules. In this study, a direct assessment of the possible role of the mannose receptor in this process was made in the absence of other endocytic receptors that can internalize glycoproteins. Presentation of RNase A and B peptides was compared in transfected fibroblasts coexpressing the mannose receptor and MHC class II molecules. RNase B bears a high-mannose oligosaccharide and is a ligand for the mannose receptor, whereas RNase A is not glycosylated and is taken up by pinocytosis. Incubation of RNase A or B with the transfected cells resulted in identical stimulation of ribonuclease-specific T cells, indicating that endocytosis of the glycosylated protein by the mannose receptor does not enhance presentation of this antigen. The postulated role of the mannose receptor in presentation of glycoprotein-derived antigen is reevaluated in light of these results."	2004	Oct	14	10	7C-12C	15190005	0
562	"Napper, CE"	Collagen binding by the mannose receptor mediated through the fibronectin type II domain	Biochem J	"The macrophage mannose receptor is the prototype for a family of receptors each having an extracellular region consisting of an N-terminal cysteine-rich domain related to the R-type carbohydrate-recognition domain of ricin, a fibronectin type II domain and eight to ten domains related to C-type carbohydrate-recognition domains. The mannose receptor acts as a molecular scavenger, clearing harmful glycoconjugates or micro-organisms through recognition of their defining carbohydrate structures. Cell-adhesion assays, as well as collagen-binding assays, have now been used to show that the mannose receptor can also bind collagen and that the fibronectin type II domain mediates this activity. Neither of the two types of sugar-binding domain in the receptor is involved in collagen binding. Fibroblasts expressing the mannose receptor adhere to type I, type III and type IV collagens, but not to type V collagen, and the adherence is inhibited by isolated mannose receptor fibronectin type II domain. The fibronectin type II domain shows the same specificity for collagen as the whole receptor, binding to type I, type III and type IV collagens. This is the first activity assigned to the fibronectin type II domain of the mannose receptor. The results suggest additional roles for this multifunctional receptor in mediating collagen clearance or cell-matrix adhesion."	2006	May-01	395	3	579-86	16441238	0
563	"Navazio, L"	Monitoring endoplasmic reticulum-to-Golgi traffic of a plant calreticulin by protein glycosylation analysis	Biochemistry	"Calreticulin is a ubiquitous and highly conserved Ca(2+)-binding protein that is involved in intracellular Ca(2+) homeostasis and molecular chaperoning in the endoplasmic reticulum (ER). Plant calreticulin, in contrast to its animal counterpart, is often glycosylated: its N-glycans have been shown so far to be of the high-mannose type, typical of ER-resident glycoproteins. During the characterization of calreticulin from vegetative and reproductive tissues of Liriodendron tulipifera L., we gained some biochemical evidence that prompted us to investigate the monosaccharide composition and primary structure of the calreticulin N-glycans isolated from the ovary of this dicotyledon tree. The structures of the components of the N-glycan pool were elucidated by HPLC analysis and exoglycosidase sequencing, and further confirmed by matrix-assisted laser desorption/ionization mass spectrometry. The 16 identified oligosaccharide structures, which consisted of both the high-mannose and complex type, are indicative of calreticulin glycan processing through the ER-to-Golgi pathway up to the medial and trans Golgi stacks. Approximately 45% of calreticulin glycan chains are of the complex type, always containing beta(1,2)-xylose, and approximately a third of these also contain alpha(1,3)-fucose in the core. The most complex glycoform harbors the Lewis-a epitope Gal(beta)1-3[Fuc(alpha)1-4]GlcNAc. Immunolocalization of calreticulin with anti-calreticulin antibodies was consistent with protein transit through the Golgi. Thus, although it contains the tetrapeptide HDEL ER retention signal, the reticuloplasmin calreticulin possesses the competence to transit from the ER compartment to the distal Golgi stacks. The final fate of the protein after its complete maturation is still obscure."	2002	Dec-03	41	48	14141-9	12450377	474
564	"Naven, TJ and Harvey, DJ"	Effect of structure on the signal strength of oligosaccharides in matrix-assisted laser desorption/ionization mass spectrometry on time-of-flight and magnetic sector instruments	Rapid Commun Mass Spectrom	"The signal strength of the MNa+ ion from 25 underivatized oligosaccharides (linear, and both O- and N-linked oligosaccharides from glycoproteins) was measured by matrix-assisted laser desorption/ionization mass spectrometry on a time-of-flight and on a magnetic sector instrument with 2,5-dihydroxybenzoic acid as the matrix, in order to examine the influence of structure on ion abundance. Oligosaccharides with masses greater than about 1000 Da exhibited similar signal strengths, irrespective of structure, when examined on the time-of-flight instrument. Oligosaccharides with masses below 1000 Da displayed a progressive reduction in signal intensity with decreasing molecular weight, an effect which was probably due to temporary saturation of the detector by the intense matrix ions (m/z 130-200 region). Similar studies performed on a magnetic sector instrument revealed that all oligosaccharides studied produced signals of equivalent intensity and that no reduction in signal strength occurred with the smaller sugars. The compounds could be measured with a precision of +/- 5% on this instrument. The nature of the matrix did not appear to exert a differential effect on the ionization of sugars of different structural types although some matrices appeared to have a preference for ionization of smaller molecules."	1996		10	11	1361-6	8805844	0
565	"Naven, TJ"	Fragmentation of complex carbohydrates following ionization by matrix-assisted laser desorption with an instrument fitted with time-lag focusing	Rapid Commun Mass Spectrom	"Matrix-assisted laser desorption/ionization time-of-flight spectra of carbohydrates recorded with an instrument using time-lag focusing (delayed extraction) were found to exhibit fragment ions, whereas, in the non time-lag-focusing mode, fragment ions were not observed. Fragment ions consisted both of glycosidic and cross-ring cleavage products whose absolute, but not relative abundance increased with the delay time and indicated that they were formed within the ion source. Only the glycosidic cleavage ions were present in post-source decay spectra and their abundance was inversely correlated with the delay time. The results indicated that the cross-ring cleavages were predominately the products of fast reactions whereas the glycosidic cleavages occurred over a longer time frame."	1997		11	15	1681-6	9364797	0
566	"Neefus, MS and Taylor, ME"	Educational needs of hysterectomy patients	Patient Couns Health Educ	"This exploratory study determined specific educational needs of hysterectomy patients. The study population consisted of patients who had successfully undergone hysterectomies performed by four gynecologists within the two years prior to the study. A questionnaire was developed, tested, revised, and subsequently returned by 146 women. Most questions were designed to elicit information on (1) what patients wanted to know, (2) when they wanted the information, and (3) whether this information was obtained. Data regarding the first two questions were examined in relation to the demographic variables of age, education, occupation, pregnancy outcomes, and employment. Results showed that hysterectomy patients wanted more explanation of all topics. The topic most often (92%) rated very important was physical effects of the surgery. Women between 31 and 40 years of age valued as most important was the sexuality topics. Ninety-four percent indicated they most wanted the information before hospitalization. Twenty percent reported receiving no information about possible psychological or sexual problems. Conclusions drawn from this study are that there is an urgent need for structured patient education about hysterectomy; that patients have a need for information on the physical, psychological, and sexual aspects of hysterectomy; and that this information is needed before entering the hospital, pre- and postsurgery, and after returning home."	1982	4th Quart	3	4	150-5	10255736	0
567	"Negroiu, G"	Investigation of the intracellular transport of tyrosinase and tyrosinase related protein (TRP)-1. The effect of endoplasmic reticulum (ER)-glucosidases inhibition	Cell Mol Biol (Noisy-le-grand)	"Melanin biosynthesis is completely inhibited in the B16 melanoma cells following their incubation with inhibitors of the two ER glucosidases. This is primarily due to the inactivation of tyrosinase. Under the same conditions, the DOPA-oxidase activity of TRP-1 was only partially affected. In this report we investigate the effects of the perturbation of N-glycan processing in ER on the transport and activation of tyrosinase and TRP-1. We have localized the DOPA-oxidase activity in normal and inhibited cells and suggest that the first DOPA-reactive compartment of the secretory pathway (trans Golgi network) is also the site of tyrosinase activation. The inhibition of N-glycan processing does not affect the intracellular trafficking of the two melanogenic enzymes that are correctly transported to melanosomes. Immunoprecipitation experiments followed by analysis in SDS-PAGE under non-reducing conditions suggest that in inhibited cells, both tyrosinase and TRP-1 are synthesized in a modified conformation as compared to the normal proteins. These data suggest that the inhibition of melanin synthesis is not due to a defective transport but rather to conformational changes induced in the structure of tyrosinase and TRP-1 during their transit through the ER."	1999	Nov	45	7	1001-10	10644004	0
568	"Negroiu, G"	Protein specific N-glycosylation of tyrosinase and tyrosinase-related protein-1 in B16 mouse melanoma cells	Biochem J	"Tyrosinase and tyrosinase-related protein-1 (TRP-1) are two melanogenic enzymes that regulate melanin biosynthesis. Both are glycoproteins and belong to the TRP-1 gene family. They share a significant level of sequence similarity in several regions, including the catalytic domain and the potential N-glycosylation sites. We have recently shown that inhibition of the early steps of N-glycan processing in B16F1 cells dramatically affects tyrosinase activity and melanin synthesis. We present here results on N-glycan processing of TRP-1 and tyrosinase and compare the maturation process and activity of both glycoproteins in the presence of inhibitors of the endoplasmic reticulum stages of N-glycosylation. N-glycan analysis reveals that each of these two glycoproteins contains a mixture of high-mannose and sialylated complex N-glycans. However, in contrast to TRP-1, tyrosinase presents a homogeneous high-mannose glycoform, also. In the presence of alpha-glucosidases inhibitors, the maturation of tyrosinase N-glycans is completely inhibited, whereas TRP-1 is still able to acquire some complex glycans, indicating that endomannosidase acts preferentially on the later glycoprotein. In addition, the dopa-oxidase activity of tyrosinase is totally abolished, whereas for TRP-1 it is only partially affected. The results suggest that despite their structural similarity, tyrosinase is more sensitive than TRP-1 to perturbations of early N-glycan processing, in terms of maturation and catalytical activity."	1999	Dec-15	344 Pt 3		659-65	10585852	0
569	"Negroiu, G"	Folding and maturation of tyrosinase-related protein-1 are regulated by the post-translational formation of disulfide bonds and by N-glycan processing	J Biol Chem	"In this study we have explored the endoplasmic reticulum associated events accompanying the maturation of the tyrosinase-related protein-1 (TRP-1) nascent chain synthesized in mouse melanoma cells. We show that TRP-1 folding process occurs much more rapidly than for tyrosinase, a highly homologous protein, being completed post-translationally by the formation of critical disulfide bonds. In cells pretreated with dithiothreitol (DTT), unfolded TRP-1 is retained in the endoplasmic reticulum by a prolonged interaction with calnexin and BiP before being targeted for degradation. The TRP-1 chain was able to fold into DTT-resistant conformations both in the presence or absence of alpha-glucosidase inhibitors, but folding occurred through different pathways. During the normal folding pathway, TRP-1 interacts with calnexin. In the presence of alpha-glucosidase inhibitors, the interaction with calnexin is prevented, with TRP-1 folding being assisted by BiP. In this case, the process has similar kinetics to that of untreated TRP-1 and yields a compact form insensitive to DTT as well. However, this form has different thermal denaturation properties than the native conformation. We conclude that disulfide bridge burring is crucial for the TRP-1 export. This suggests that although various folding pathways may complete this process, the native form may be acquired only through the normal unperturbed pathway."	2000	Oct-13	275	41	32200-7	10915799	0
570	"Negroiu, G"	The inhibition of early N-glycan processing targets TRP-2 to degradation in B16 melanoma cells	J Biol Chem	"Tyrosinase-related protein-2 (TRP-2) is a DOPAchrome tautomerase catalyzing a distal step in the melanin synthesis pathway. Similar to the other two melanogenic enzymes belonging to the TRP gene family, tyrosinase and TRP-1, TRP-2 is expressed in melanocytes and melanoma cells. Despite the increasing evidence of its efficiency as a melanoma antigen, little is known about the maturation and intracellular trafficking of TRP-2. Here we show that TRP-2 is mainly distributed in the TGN of melanoma cells instead of being confined solely to melanosomes. This, together with the plasma membrane occasional localization observed by immunofluorescence, suggest the TRP-2 participation in a recycling pathway, which could include or not the melanosomes. Using pulse-chase experiments we show that the TRP-2 polypeptide folds in the endoplasmic reticulum (ER) in the presence of calnexin, until it reaches a dithiothreitol-resistant conformation enabling its ER exit to the Golgi. If N-glycosylation inhibitors prevent the association with calnexin, the TRP-2 nascent chain undergoes an accelerated degradation process. This process is delayed in the presence of proteasomal inhibitors, indicating that the misfolded chain is retro-translocated from the ER into the cytosol and degraded in proteasomes. This is a rare example in which calnexin although indispensable for the nascent chain folding is not required for its targeting to degradation. Therefore TRP-2 may prove to be a good model to document the calnexin-independent retro-translocation process of proteasomally degraded proteins. Clearly, TRP-2 has a distinct maturation pathway from tyrosinase and TRP-1 and possibly a second regulatory function within the cell."	2003	Jul-18	278	29	27035-42	12719423	0
571	"Negroiu, G"	Tyrosinase-related protein-2 and -1 are trafficked on distinct routes in B16 melanoma cells	Biochem Biophys Res Commun	"Tyrosinase related protein (TRP)-1 and -2 regulate the main steps in melanin synthesis and are immune targets in skin cancer or autoimmune pigmentary disorders. We found that ionophore monensin (Mon) and the quaternary amine chloroquine (CQ) discriminate between the traffic routes of TRP-2 and TRP-1. TRP-2 N-glycan processing is interrupted by Mon between ER and trans-Golgi, whereas this process continues for TRP-1. Mature TRP-2 is diverted by CQ treatment to a degradation pathway which depends on functional vacuolar ATPases. Conversely, the subcellular distribution and stability of TRP-1 were not affected by CQ. We propose that TRP-2 is sorted and trafficked in the early secretory pathway with a cargo which does not include TRP-1; post Golgi, TRP-2 intersects the endocytic pathway following a route via early endosomes, possibly by rapid recycling from the plasma membrane. These data show that highly structural homologous glycoproteins use distinct trafficking pathways in the same cell."	2005	Mar-25	328	4	914-21	15707965	0
572	"Neises, GR"	Ultrastructural changes in the Golgi apparatus and secretory granules of HL-60 cells treated with the imino sugar N-butyldeoxynojirimycin	Biol Cell	"The imino sugar N-butyldeoxynojirimycin inhibits the N-linked oligosaccharide processing enzymes alpha-glucosidases I and II, and the ceramide specific glucosyltransferase which catalyses the first step in glucosphingolipid biosynthesis. We have studied the effects of this compound on the ultrastructure of HL-60 cells to identify novel activities of this compound. Treatment of HL-60 cells with this imino sugar results in several morphological changes within the cell, none of which result in cytotoxicity. The plasma membrane stains heavily with potassium ferrocyanide within 30 min following addition of the compound to the medium, and there is then a time dependent involvement of all other intracellular membranes. Secretory granules become enlarged and lose their dense core morphology and appear either empty and vacuolated or have low density contents. However, the most striking effect of NB-DNJ treatment is on the Golgi apparatus. The Golgi exhibits a time-dependent change from typical Golgi morphology to a structure almost completely devoid of cisternae and consisting predominantly of vesicles. All the observed changes are fully reversible on withdrawal of the compound."	1997	May	89	2	123-31	9351192	0
573	"Neville, DC"	Analysis of fluorescently labeled glycosphingolipid-derived oligosaccharides following ceramide glycanase digestion and anthranilic acid labeling	Anal Biochem	"Interest in cellular glycosphingolipid (GSL) function has necessitated the development of a rapid and sensitive method to both analyze and characterize the full complement of structures present in various cells and tissues. An optimized method to characterize oligosaccharides released from glycosphingolipids following ceramide glycanase digestion has been developed. The procedure uses the fluorescent compound anthranilic acid (2-aminobenzoic acid; 2-AA) to label oligosaccharides prior to analysis using normal-phase high-performance liquid chromatography. The labeling procedure is rapid, selective, and easy to perform and is based on the published method of Anumula and Dhume [Glycobiology 8 (1998) 685], originally used to analyze N-linked oligosaccharides. It is less time consuming than a previously published 2-aminobenzamide labeling method [Anal. Biochem. 298 (2001) 207] for analyzing GSL-derived oligosaccharides, as the fluorescent labeling is performed on the enzyme reaction mixture. The purification of 2-AA-labeled products has been improved to ensure recovery of oligosaccharides containing one to four monosaccharide units, which was not previously possible using the Anumula and Dhume post-derivatization purification procedure. This new approach may also be used to analyze both N- and O-linked oligosaccharides."	2004	Aug-15	331	2	275-82	15265733	0
574	"Newton, JP"	CD31 (PECAM-1) exists as a dimer and is heavily N-glycosylated	Biochem Biophys Res Commun	"CD31 (PECAM-1) is a highly abundant cell surface glycoprotein expressed on hemopoietic and endothelial cells where it functions as a homophilic adhesion and signaling receptor. Since dimerization and appropriate glycosylation are important features in the regulation of cell surface interactions and signal transduction, we studied the pattern of glycosylation as well as the ability of CD31 to undergo dimerization, both in solution and when expressed on cell membranes. CD31 is heavily glycosylated, with an approximate carbohydrate content of 21%. Nineteen neutral and thirteen sialylated glycans were identified. Ultracentrifugation analysis showed that soluble recombinant CD31 exists in equilibrium between a monomer and a dimer with an approximate dissociation constant of 12.5 microM. Chemical cross-linking studies of both soluble and membrane-expressed CD31 confirmed that CD31 exists as a dimer. These studies suggest that, like E-cadherin, PECAM-dimerization is likely to play a role in CD31 adhesion and signaling."	1999	Aug-02	261	2	283-91	10425179	0
